2001-01-01 00:00:00 EST,389027+383874j
2001-01-01 01:00:00 EST,424273+362891j
2001-01-01 02:00:00 EST,428679+326208j
2001-01-01 03:00:00 EST,350057+340948j
2001-01-01 04:00:00 EST,342057+316247j
2001-01-01 05:00:00 EST,470692+336541j
2001-01-01 06:00:00 EST,369910+423118j
2001-01-01 07:00:00 EST,375960+324299j
2001-01-01 08:00:00 EST,501218+415459j
2001-01-01 09:00:00 EST,388512+405722j
2001-01-01 10:00:00 EST,394327+323408j
2001-01-01 11:00:00 EST,437852+348576j
2001-01-01 12:00:00 EST,372606+293787j
2001-01-01 13:00:00 EST,490113+388264j
2001-01-01 14:00:00 EST,482695+422296j
2001-01-01 15:00:00 EST,416272+421546j
2001-01-01 16:00:00 EST,509347+428360j
2001-01-01 17:00:00 EST,503020+388716j
2001-01-01 18:00:00 EST,453458+298537j
2001-01-01 18:00:00 EST,469169+311878j
2001-01-01 19:00:00 EST,350788+341447j
2001-01-01 20:00:00 EST,474827+402252j
2001-01-01 21:00:00 EST,459226+365943j
2001-01-01 22:00:00 EST,461918+350688j
2001-01-01 23:00:00 EST,361440+423802j